Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-969.433	-1034.201	64.76807	0.00885471	0.00439283	0.00142093	0.00309431	0.0284755	0.00647684	0.00294927	0.068935	0.011146	0.021304	0.0471479	0.0050448	0.00849181	0.00150117	0.010896	0.013575	0.00271121	0.00169691	0.0130024	0.0139782	0.0518904	0.0162038	0.0092593	0.0350446	0.00216534	0.0120001	0.19903	0.0487329	0.00738049	0.005767	0.128495	0.0306367	0.0252423	0.0152589	0.189857	0.0262067	0.01709	0.00915139	0.0240453	0.016189	0.0761601	0.0391856	0.00973929	0.0684924	0.00988752	0.0201634	0.0453945	0.0175107	0.0620061	0.393727	2.13676	0.2880086	1.711991	0.261175	0.51956	0.815236	1.22664	1.92471	3.82886	0.9707677	5.944237	0.3454938	0.0059297	0.00294173	0.000951547	0.00207216	0.0190691	0.00433733	0.00197503	0.0461634	0.00746413	0.0142665	0.0315734	0.00337834	0.00568668	0.00100528	0.00729667	0.00909073	0.0018156	0.00113636	0.0087073	0.00936072	0.0347492	0.0108512	0.00620064	0.0234682	0.00145006	0.00803607	0.133283	0.0326348	0.00494247	0.00386197	0.086049	0.0205164	0.0169039	0.0102183	0.127141	0.0175498	0.0114446	0.00612838	0.0161023	0.0108413	0.0510019	0.0262413	0.00652207	0.0458671	0.00662134	0.0135028	0.0303992	0.0117264	0.0415234	0.855996	0.144004	1.49328
36	-971.9581	-1036.935	64.97723	0.00041199	0.0018193	0.000882248	0.00412032	0.0193153	0.00667177	0.000134868	0.0533455	0.000291646	0.012884	0.0308558	0.00934872	0.00324724	0.00470858	0.00605895	0.00738987	0.000197764	0.00607325	0.0165075	0.000112905	0.0171631	0.00664901	9.08475e-05	0.00191319	0.00643321	0.0134424	0.0888702	0.0548537	0.00985544	0.00157259	0.0484011	0.0123675	0.0393726	0.01038	0.035762	0.0283242	0.0141797	0.0204774	0.0165031	0.00725099	0.070437	0.0331503	0.0267994	0.0339993	0.00510183	0.0102014	0.0324348	0.00715035	0.0686977	0.424643	2.0788	0.2715803	1.72842	0.175078	0.427486	0.767105	1.3036	2.33926	5.71173	1.259964	6.364304	0.3830127	0.000454629	0.00200759	0.000973556	0.00454675	0.0213143	0.00736227	0.000148827	0.0588665	0.00032183	0.0142174	0.0340493	0.0103163	0.00358331	0.0051959	0.00668602	0.00815469	0.000218232	0.0067018	0.0182159	0.00012459	0.0189394	0.00733715	0.00010025	0.00211119	0.00709901	0.0148337	0.0980678	0.0605307	0.0108754	0.00173535	0.0534104	0.0136475	0.0434475	0.0114543	0.0394631	0.0312556	0.0156472	0.0225967	0.0182111	0.00800142	0.0777268	0.0365812	0.029573	0.037518	0.00562984	0.0112572	0.0357916	0.00789038	0.0758075	0.86421	0.13579	0.9062119
72	-963.321	-1028.361	65.04026	0.0102821	0.00305437	0.000187695	0.00201096	0.00763836	0.00234689	0.00071262	0.0217766	0.000163194	0.00788404	0.0110382	0.000917065	0.000293751	0.00185768	0.00519576	0.000825833	0.000402943	0.00253341	0.00176325	0.00430777	0.00648973	0.0141232	0.000354491	0.00489689	0.00307374	0.00402967	0.0262654	0.0174811	0.00160963	0.00162243	0.0266979	0.0070669	0.0115191	0.00201351	0.00371603	0.0235564	0.00682116	0.0455735	0.00731059	0.0247248	0.0176419	0.00981903	0.00758736	0.00862938	0.0024982	0.00674481	0.0144811	0.00318344	0.0153736	0.479537	1.97587	0.3638175	1.636182	0.088362	0.306261	0.691305	1.44654	3.26519	11.3171	1.754391	4.497262	0.4550566	0.0250724	0.00744791	0.000457684	0.00490362	0.0186257	0.00572277	0.00173769	0.0531011	0.000397941	0.0192248	0.0269161	0.00223621	0.000716295	0.00452984	0.0126696	0.00201375	0.000982556	0.00617757	0.00429958	0.0105043	0.0158249	0.0344387	0.000864407	0.0119408	0.00749515	0.00982614	0.0640467	0.0426267	0.003925	0.0039562	0.0651013	0.0172323	0.0280886	0.00490984	0.00906133	0.0574409	0.016633	0.111128	0.0178265	0.0602901	0.0430187	0.0239432	0.0185014	0.0210423	0.00609172	0.0164468	0.0353114	0.00776265	0.0374877	0.818091	0.181909	0.4100974
108	-982.6416	-1047.535	64.89378	0.00145983	0.0173434	0.0115735	0.0142474	0.0249895	0.00962669	0.00641994	0.0567194	0.00548377	0.0204855	0.0629982	0.0226212	0.00416422	0.000554306	0.0140177	0.00864338	0.0155503	0.0226578	0.0269921	0.0019124	0.0601125	0.0138996	0.00355004	0.0117776	0.00740635	0.0243377	0.0753218	0.00428813	0.017811	0.00400231	0.0498147	0.125015	0.0546907	0.167684	0.0571913	0.0148437	0.0171412	0.171505	0.0175696	0.171253	0.00539183	0.0162391	0.00228337	0.0840677	0.0253848	0.0268976	0.0635189	0.0367699	0.0966054	0.597452	1.75478	0.485568	1.514432	0.31422	0.568591	0.838498	1.19261	1.75873	3.18248	0.837069	3.118888	0.6383846	0.000822517	0.00977182	0.00652086	0.00802744	0.0140799	0.00542399	0.00361721	0.0319576	0.00308974	0.0115422	0.0354953	0.0127455	0.00234626	0.000312314	0.00789801	0.00486997	0.00876152	0.0127661	0.0152082	0.00107751	0.0338694	0.0078315	0.00200021	0.0066359	0.00417298	0.0137127	0.0424388	0.00241607	0.0100353	0.00225503	0.0280672	0.0704376	0.0308145	0.0944786	0.0322234	0.00836341	0.00965794	0.0966316	0.00989931	0.0964898	0.00303793	0.00914964	0.00128653	0.0473665	0.0143026	0.015155	0.0357886	0.0207174	0.0544306	0.757216	0.242784	1.774835
144	-967.6202	-1031.905	64.28466	0.00854975	0.00726755	0.0305535	0.0193513	0.0106776	0.00312885	0.0209323	0.0650089	0.000735421	0.00971005	0.0725842	0.00324008	0.00874144	0.010904	0.00861787	0.0204506	0.00195317	0.00346419	0.011997	0.0465006	0.0340778	0.00619295	0.00592031	0.00697542	0.00602707	0.0186206	0.0413086	0.00341321	0.105364	0.214715	0.0718033	0.0686705	0.0501688	0.0171043	0.019076	0.0813231	0.0583872	0.193657	0.0245808	0.00315134	0.0606355	0.0472383	0.0115469	0.0134534	0.0144318	0.0151367	0.0196715	0.00637131	0.0330811	0.267902	2.37268	0.1703915	1.829608	0.37038	0.616067	0.859741	1.16314	1.6232	2.69993	0.7181714	10.73767	0.2117084	0.00528914	0.00449593	0.0189014	0.0119713	0.00660552	0.0019356	0.0129494	0.0402165	0.000454954	0.00600694	0.0449028	0.00200442	0.00540772	0.00674553	0.00533128	0.0126514	0.00120829	0.00214305	0.00742174	0.0287667	0.0210816	0.00383115	0.00366249	0.00431521	0.00372853	0.0115193	0.0255548	0.00211152	0.0651814	0.132829	0.0444197	0.0424817	0.031036	0.0105813	0.011801	0.050309	0.0361201	0.119802	0.0152064	0.00194952	0.037511	0.0292231	0.00714327	0.00832271	0.00892798	0.00936404	0.0121694	0.00394149	0.020465	0.914804	0.0851958	1.616473
180	-959.563	-1024.353	64.78976	0.013422	0.00921056	0.00207918	0.0144454	0.0176408	0.00394112	0.00406825	0.0629418	0.00932441	0.0225952	0.0193073	0.00295152	0.000756246	0.000403724	0.00544293	0.00163168	0.00764246	0.00866373	0.0108832	0.0138097	0.0290537	0.027555	0.00191523	0.0218737	0.00427495	0.0118626	0.0651979	0.00890532	0.000631382	0.00607083	0.0315832	0.0502025	0.0348465	0.115016	0.048965	0.01925	0.0158064	0.0791012	0.0221337	0.114846	0.00656382	0.0106495	0.0164456	0.0292805	0.0117674	0.0225498	0.0493241	0.0301022	0.147031	0.268835	2.37093	0.218808	1.781192	0.218073	0.475811	0.793169	1.26077	2.10167	4.58561	1.101179	8.140433	0.2126023	0.010619	0.00728703	0.00164497	0.0114287	0.0139567	0.00311806	0.00321864	0.0497971	0.00737711	0.0178765	0.0152752	0.00233513	0.000598312	0.00031941	0.00430624	0.00129092	0.00604642	0.0068544	0.00861038	0.0109257	0.0229862	0.0218005	0.00151526	0.0173056	0.00338217	0.00938521	0.051582	0.00704554	0.000499525	0.004803	0.0249874	0.0397183	0.0275692	0.0909959	0.0387392	0.0152298	0.0125054	0.0625818	0.0175113	0.0908613	0.00519303	0.00842544	0.0130111	0.0231655	0.00930991	0.0178405	0.0390233	0.0238157	0.116325	0.890596	0.109404	1.263965
216	-971.9663	-1036.743	64.77651	0.00350997	0.00118878	0.0154313	0.0183774	0.0227945	0.00148328	0.0024324	0.037215	0.0046856	0.0222968	0.0133694	0.00636568	0.000583244	0.00843681	0.0180532	0.0130493	0.00696692	0.00940734	0.0200259	0.0168708	0.0212876	0.0273008	5.70716e-05	0.00472296	0.0101492	0.00848954	0.104366	0.0405313	0.00336478	0.000323358	0.100483	0.0544569	0.0069112	0.00801155	0.0104751	0.0459833	0.0395919	0.221239	0.0215271	0.0619242	0.0866483	0.0303769	0.0221619	0.0551766	0.0536759	0.0253732	0.0844986	0.0118072	0.0552757	0.417943	2.09136	0.2508363	1.749164	0.372735	0.617975	0.860571	1.16202	1.61819	2.68287	0.7135868	6.973327	0.3747051	0.00240617	0.00081494	0.0105786	0.0125982	0.0156262	0.00101683	0.00166748	0.0255119	0.0032121	0.015285	0.00916507	0.00436384	0.000399829	0.00578365	0.0123759	0.00894564	0.00477601	0.00644898	0.0137283	0.0115654	0.0145932	0.0187154	3.91241e-05	0.00323772	0.00695758	0.00581981	0.0715454	0.0277853	0.00230665	0.00022167	0.0688836	0.0373316	0.00473781	0.00549213	0.00718094	0.0315228	0.0271413	0.151665	0.0147574	0.0424507	0.0593997	0.0208242	0.0151926	0.037825	0.0367962	0.017394	0.057926	0.00809416	0.0378929	0.874582	0.125418	1.458733
252	-979.122	-1043.308	64.18643	0.00130281	0.00272838	0.00277562	0.00401888	0.01832	0.000499116	0.0132971	0.0405053	0.00345925	0.0307732	0.0355877	0.00667422	0.00990036	0.00253773	0.0148565	0.00266719	0.00684733	0.00624425	0.00085636	0.00215904	0.0341309	0.00985228	0.0168896	0.0761495	0.00936647	0.00470612	0.00253086	0.0183094	0.0751674	0.135975	0.028138	0.0254142	0.0608539	0.0184856	0.0357518	0.0292318	0.0374054	0.0815789	0.0115541	0.00185858	0.0281647	0.0644298	0.0865182	0.000400013	0.0145937	0.000624508	0.021425	0.0164987	0.042322	0.261189	2.38527	0.1334948	1.866505	0.269797	0.527856	0.819276	1.22059	1.89446	3.70649	0.9472811	13.98186	0.2053136	0.00109082	0.00228444	0.00232398	0.00336495	0.0153391	0.000417902	0.0111334	0.0339145	0.00289638	0.0257659	0.029797	0.00558823	0.00828942	0.0021248	0.0124392	0.0022332	0.00573317	0.00522821	0.000717017	0.00180773	0.0285773	0.00824917	0.0141414	0.0637588	0.0078424	0.00394036	0.00211905	0.0153302	0.0629366	0.11385	0.0235595	0.0212789	0.050952	0.0154777	0.0299344	0.0244754	0.031319	0.0683048	0.00967409	0.00155616	0.0235819	0.0539461	0.0724404	0.000334925	0.0122191	0.000522891	0.0179388	0.0138142	0.0354356	0.933253	0.0667474	1.194336
288	-971.9373	-1035.781	63.84385	0.00388322	0.00489742	0.00287116	0.00517921	0.0203351	0.00325495	0.00586124	0.0474481	0.00465011	0.0347687	0.0405912	0.0124653	0.0010583	0.00728414	0.0113235	0.00626252	0.0287712	0.00405012	0.0146466	0.0213464	0.0787491	0.0316377	0.0462643	0.0090176	0.000720354	0.0174931	0.0979479	0.0949755	0.00633934	0.000377239	0.0636101	0.0680118	0.117947	0.0137208	0.00771423	0.0221507	0.0234863	0.11876	0.0345871	0.0866732	0.0843896	0.00777028	0.0112707	0.0543069	0.0364554	0.028309	0.0745627	0.00880104	0.0729694	0.263221	2.38146	0.1223815	1.877619	0.430047	0.66262	0.879504	1.137	1.50916	2.32533	0.6101701	15.34234	0.2072424	0.00242707	0.00306095	0.00179451	0.00323707	0.0127097	0.00203439	0.00366335	0.0296557	0.00290638	0.0217309	0.02537	0.00779095	0.000661453	0.00455269	0.00707735	0.00391416	0.0179824	0.00253138	0.0091543	0.0133418	0.0492192	0.019774	0.0289158	0.00563612	0.000450231	0.0109334	0.0612187	0.0593609	0.00396217	0.000235779	0.0397572	0.0425083	0.0737183	0.00857568	0.00482149	0.0138444	0.0146792	0.0742265	0.0216174	0.0541719	0.0527446	0.00485653	0.00704434	0.0339426	0.0227851	0.0176935	0.0466027	0.00550076	0.0456068	0.938809	0.0611907	1.599966
324	-968.9709	-1033.993	65.02161	0.00213642	0.00763522	0.00680581	0.00455463	0.0108765	6.69707e-05	0.00521687	0.0304669	0.00237103	0.016352	0.0321742	0.00424808	0.000144526	0.00309191	0.00466891	0.00801049	0.00374826	0.00565967	0.0076081	0.00586412	0.0219885	0.00856908	0.0344024	0.0283954	0.000840827	0.00474644	0.0040149	0.0010673	0.051141	0.14192	0.0351431	0.0659923	0.0283882	0.024347	0.000734694	0.0340745	0.0205992	0.0613388	0.0219663	0.0801832	0.00321614	0.0334069	0.0306423	0.00232293	0.00395481	0.008058	0.00838638	0.0217405	0.00958761	0.426487	2.07534	0.2843251	1.715675	0.178625	0.431688	0.769449	1.29963	2.31649	5.59833	1.245463	6.034202	0.3853178	0.0022421	0.00801287	0.00714243	0.00477991	0.0114145	7.02832e-05	0.0054749	0.0319739	0.00248831	0.0171608	0.0337656	0.00445819	0.000151674	0.00324484	0.00489984	0.0084067	0.00393366	0.0059396	0.00798441	0.00615417	0.0230761	0.00899292	0.036104	0.0297999	0.000882416	0.0049812	0.00421348	0.00112009	0.0536705	0.14894	0.0368813	0.0692564	0.0297924	0.0255513	0.000771033	0.0357599	0.0216181	0.0643727	0.0230528	0.0841492	0.00337521	0.0350593	0.032158	0.00243783	0.00415042	0.00845656	0.00880118	0.0228158	0.0100618	0.857837	0.142163	0.9528695
