Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-972.8241	-1037.753	64.929	0.000763865	0.0039792	0.0132579	0.00654146	0.0101703	0.00216792	0.00293347	0.0331812	0.000935554	0.0137805	0.0330381	0.000734995	0.0097667	0.00322893	0.00733751	0.00355952	0.000126195	0.00376198	0.00406761	0.00167462	0.0246982	0.0173228	0.0058894	0.00750886	0.00371234	0.00343758	0.00918595	0.0180575	0.0044319	0.0338291	0.0253224	0.0112711	0.00263095	0.0144037	0.0445286	0.0142923	0.0422076	0.00327727	0.0151246	0.0270203	0.000927745	0.00960288	0.00369146	0.012774	0.00716896	0.0271672	0.0467152	0.0638216	0.000103659	0.341204	2.23524	0.2272713	1.772729	0.145449	0.390528	0.745767	1.3409	2.56064	6.87525	1.394025	7.800054	0.2862135	0.00116597	0.00607389	0.0202369	0.00998494	0.0155241	0.00330914	0.00447767	0.050648	0.00142804	0.0210347	0.0504297	0.0011219	0.014908	0.00492867	0.0112	0.00543329	0.000192626	0.00574231	0.00620884	0.00255616	0.0376995	0.0264416	0.00898963	0.0114616	0.00566655	0.00524715	0.0140215	0.0275631	0.00676489	0.051637	0.0386524	0.0172042	0.00401591	0.0219859	0.0679688	0.0218159	0.064426	0.00500245	0.0230863	0.041244	0.00141612	0.0146579	0.00563468	0.0194984	0.0109428	0.0414683	0.0713065	0.0974178	0.000158226	0.886364	0.113636	0.6551326
36	-972.7172	-1037.07	64.35279	0.000242205	0.00403972	0.014949	0.00309768	0.0123239	0.00259363	0.00534818	0.037457	0.000767378	0.0135243	0.0109501	0.00121139	0.000885779	0.00360012	0.00167118	0.00184411	4.07765e-05	0.00836795	0.00554938	0.0132512	0.0291905	0.0190985	0.000442634	0.0184676	0.00249131	0.00994277	0.0156497	0.0220499	0.00213206	0.0767237	0.0231106	0.0101849	0.000889814	0.00627123	0.0262301	0.0265084	0.022832	0.00281173	0.0148527	0.039351	0.00023732	0.00443215	0.00215066	0.0166991	0.0106777	0.0160873	0.0544246	0.0860731	0.000283324	0.453558	2.02458	0.175813	1.824187	0.184643	0.438721	0.773338	1.2931	2.27935	5.41587	1.221504	10.37572	0.4200479	0.000345015	0.0057545	0.0212946	0.00441258	0.0175551	0.00369457	0.00761837	0.0533567	0.00109311	0.019265	0.0155981	0.0017256	0.00126177	0.00512829	0.00238057	0.00262689	5.80853e-05	0.01192	0.00790497	0.0188761	0.0415812	0.0272054	0.000630523	0.0263067	0.00354881	0.0141632	0.0222927	0.0314096	0.00303707	0.109291	0.0329206	0.0145082	0.00126752	0.00893323	0.0373642	0.0377606	0.0325236	0.00400524	0.0211574	0.0560547	0.000338058	0.0063135	0.00306357	0.0237875	0.0152102	0.022916	0.0775266	0.122609	0.000403588	0.912093	0.0879065	0.7020116
72	-984.2634	-1049.311	65.04719	0.000670329	0.00669777	0.00779706	0.000455999	0.00722047	0.00364257	0.00495648	0.0181054	0.0068514	0.0010445	0.025083	0.00189812	0.000328821	0.0013681	0.00781209	0.00512129	0.0141418	0.00942183	0.0146417	0.00841585	0.00536763	0.00484422	0.000544556	0.00470682	0.00134885	0.00945533	0.0726942	0.000712149	0.00181927	0.0316447	0.0108207	0.00952411	0.00486957	0.00851721	0.00146701	0.0451764	0.00665704	0.0187116	0.010342	0.000176485	0.0143871	0.0154033	0.0150872	0.0684193	0.0126202	0.00567382	0.0177321	0.0183988	0.0025026	0.476901	1.98081	0.3082867	1.691713	0.128129	0.367112	0.731518	1.36702	2.72397	7.80461	1.4857	5.487468	0.4514261	0.00118579	0.0118482	0.0137928	0.000806651	0.0127728	0.00644362	0.00876789	0.0320281	0.01212	0.00184769	0.0443711	0.00335774	0.000581676	0.00242013	0.0138194	0.00905943	0.0250166	0.016667	0.0259009	0.0148874	0.00949521	0.0085693	0.000963306	0.00832624	0.00238608	0.0167262	0.128594	0.00125977	0.00321824	0.0559787	0.0191416	0.0168479	0.00861415	0.0150667	0.00259511	0.079916	0.0117761	0.0331004	0.0182947	0.000312197	0.0254503	0.027248	0.0266889	0.121032	0.0223249	0.0100369	0.0313676	0.0325471	0.00442704	0.845857	0.154143	0.5652991
108	-978.4407	-1042.489	64.04845	0.00286412	0.0118748	0.00765997	0.000834746	0.00801846	0.00319675	0.00872535	0.0180017	0.0132214	0.00425306	0.043812	0.00398548	0.000552076	0.00193591	0.00135588	0.00681989	0.00250665	0.00231374	0.00599277	0.00886734	0.0124352	0.00435684	0.00143658	0.00740352	0.00296029	0.0107594	0.0426927	0.0130632	0.00525269	0.0170806	0.00049107	0.0112142	0.00737003	0.0289509	0.0131286	0.0203796	0.00534307	0.0174624	0.0226689	0.00211983	0.011018	0.0251543	0.0128708	0.0741802	0.0110007	0.000720637	0.0429913	0.0237883	0.00775296	0.253224	2.4002	0.117978	1.882022	0.147813	0.393611	0.747598	1.33762	2.54058	6.7653	1.382368	15.95231	0.1978147	0.00467353	0.0193768	0.0124992	0.0013621	0.0130841	0.00521629	0.0142376	0.0293743	0.0215741	0.00693993	0.0714902	0.0065033	0.00090085	0.00315891	0.00221246	0.0111284	0.00409022	0.00377545	0.0097787	0.0144693	0.0202912	0.00710928	0.00234414	0.0120807	0.00483045	0.0175566	0.0696639	0.0213159	0.00857107	0.0278712	0.000801304	0.0182988	0.012026	0.0472406	0.0214226	0.0332544	0.00871856	0.0284943	0.0369899	0.00345903	0.0179786	0.0410455	0.0210019	0.121044	0.0179505	0.0011759	0.0701511	0.0388165	0.0126509	0.941011	0.058989	0.612839
144	-966.6593	-1031.143	64.48402	0.0125115	0.0264173	0.0083091	0.0075796	0.0220539	0.00471104	0.00253986	0.0424176	0.0102696	0.0241991	0.0345231	0.0123946	0.00391841	0.00443727	0.00154419	0.0220243	0.00122603	0.0107071	0.0134582	0.0109744	0.020909	0.0186532	0.00181684	0.0362346	0.00175124	0.0101305	0.125831	0.0253386	0.012364	0.0592963	0.00908387	0.00477301	0.0208546	0.0415245	0.0369593	0.0739867	0.00427169	0.021145	0.0178739	0.00731491	0.0121331	0.0486555	0.051721	0.129124	0.0207887	0.00181123	0.134036	0.0469292	0.0197134	0.306858	2.29964	0.1781047	1.821895	0.281753	0.539138	0.824699	1.21256	1.85481	3.54921	0.9159287	10.22935	0.2501953	0.00968955	0.0204588	0.00643497	0.00587001	0.0170796	0.00364846	0.00196699	0.0328502	0.00795325	0.018741	0.0267364	0.009599	0.00303461	0.00343644	0.00119589	0.0170567	0.000949496	0.00829209	0.0104227	0.00849915	0.016193	0.014446	0.00140705	0.0280619	0.00135624	0.00784558	0.0974497	0.0196234	0.00957528	0.045922	0.00703499	0.00369645	0.0161508	0.0321586	0.0286231	0.0572989	0.0033082	0.0163757	0.0138424	0.00566502	0.00939643	0.0376812	0.0400553	0.0999995	0.0160998	0.0014027	0.103804	0.0363442	0.015267	0.910948	0.0890524	1.291241
180	-968.6153	-1033.786	65.17049	0.0203684	0.01984	0.0132188	0.00685604	0.0278153	0.00197034	0.00302137	0.0553852	0.00576239	0.0135923	0.014335	0.000540316	0.000944995	0.00402769	0.00234152	0.00380686	0.00276372	0.00614018	0.00249131	0.0101515	0.0513515	0.0244013	0.00255982	0.0431019	0.00682235	0.0126665	0.0790111	0.0478945	0.0197458	0.0423484	0.00734031	0.0257838	0.0211145	0.0294228	0.0167908	0.0144005	0.00339257	0.0492305	0.0127253	0.00662904	0.00328734	0.0683281	0.03641	0.0848142	0.0198199	0.000975974	0.0380026	0.0194886	0.010623	0.427411	2.0736	0.2721345	1.727866	0.264996	0.523254	0.81704	1.22393	1.91112	3.77364	0.9602638	6.349308	0.3864745	0.02009	0.0195688	0.0130381	0.00676234	0.0274352	0.00194341	0.00298008	0.0546283	0.00568364	0.0134065	0.014139	0.000532932	0.000932081	0.00397265	0.00230952	0.00375483	0.00272595	0.00605626	0.00245726	0.0100128	0.0506497	0.0240678	0.00252484	0.0425128	0.00672911	0.0124934	0.0779313	0.0472399	0.019476	0.0417696	0.00723999	0.0254314	0.0208259	0.0290207	0.0165613	0.0142036	0.0033462	0.0485577	0.0125514	0.00653844	0.00324242	0.0673943	0.0359124	0.083655	0.019549	0.000962635	0.0374832	0.0192222	0.0104778	0.863933	0.136067	1.013856
216	-974.4801	-1039.103	64.62286	0.0339562	0.0130236	0.0202066	0.00608929	0.0261266	0.00576849	0.000546272	0.0381167	0.00432199	0.0135528	0.031417	0.00231228	0.000535397	0.00625448	0.0031145	0.0102065	0.00765536	0.00827302	0.00487566	0.0198526	0.0622635	0.0308502	0.000652262	0.0258518	0.00149849	0.021061	0.0279733	0.0615099	0.0186485	0.0502613	0.0131073	0.0283553	0.00715921	0.0278953	0.0175624	0.0163691	0.00339661	0.0752814	0.0275893	0.0132011	0.0157077	0.0377479	0.0297766	0.150714	0.0310384	0.000938473	0.0293555	0.05142	0.0137943	0.463777	2.00542	0.2467524	1.753248	0.215629	0.473203	0.791809	1.26293	2.11326	4.6376	1.10933	7.105292	0.4336161	0.0295996	0.0113527	0.0176141	0.00530802	0.0227745	0.00502839	0.000476185	0.0332262	0.00376747	0.011814	0.0273862	0.00201561	0.000466705	0.00545202	0.00271491	0.00889702	0.00667317	0.00721158	0.0042501	0.0173055	0.054275	0.026892	0.000568576	0.022535	0.00130624	0.0183589	0.0243843	0.0536181	0.0162559	0.0438127	0.0114256	0.0247173	0.00624067	0.0243163	0.0153091	0.0142689	0.00296082	0.0656227	0.0240495	0.0115074	0.0136924	0.0329048	0.0259563	0.131377	0.0270562	0.000818066	0.0255891	0.0448228	0.0120245	0.876624	0.123376	1.147185
252	-976.2014	-1040.982	64.78043	0.00857312	0.00372323	0.00611552	0.00279129	0.00760873	0.00564458	0.00165214	0.0422642	0.000765993	0.0123046	0.019028	0.00785072	0.00162825	0.0030629	0.000978085	0.00220421	0.0114338	0.00539203	0.00133714	0.0233372	0.0198249	0.00151487	0.00058336	0.00678835	0.00439527	0.00355666	0.0150507	0.0851522	0.005815	0.0244138	0.00617162	0.0147812	0.00507953	0.0106034	0.010221	0.0104129	0.00429168	0.0433645	0.00703238	0.012871	0.00282987	0.0617413	0.0224278	0.100111	0.0110019	8.42889e-05	0.0231341	0.0192694	0.00310158	0.349451	2.21978	0.2249595	1.775041	0.129425	0.368917	0.732639	1.36493	2.71063	7.72648	1.478425	7.89049	0.2951736	0.0121895	0.00529379	0.0086952	0.00396873	0.0108183	0.00802561	0.00234906	0.0600924	0.00108911	0.017495	0.0270544	0.0111624	0.00231508	0.00435492	0.00139067	0.003134	0.0162568	0.00766653	0.00190118	0.0331814	0.0281875	0.00215388	0.000829436	0.00965185	0.00624931	0.00505695	0.0213994	0.121072	0.00826792	0.0347122	0.00877497	0.0210163	0.0072222	0.0150762	0.0145325	0.0148053	0.00610202	0.0616567	0.00999882	0.0183003	0.00402358	0.0877853	0.0318884	0.14234	0.0156428	0.000119844	0.0328927	0.0273977	0.0044099	0.88752	0.11248	0.7033212
288	-969.4491	-1033.572	64.12292	0.000779792	0.00235655	0.0030064	0.00192833	0.00435537	0.000203058	0.000694794	0.0121221	0.000672968	0.00363267	0.00835903	0.000470946	0.00052194	0.000951925	2.18176e-05	0.0010273	0.00171279	0.00473253	0.00229183	0.00726527	0.00444545	0.00400636	0.00163502	0.00297347	0.000551986	0.00594267	0.00202709	0.0222938	0.00462089	0.0135046	0.000966434	0.0019857	0.00407794	0.0102722	0.00386893	0.0051498	0.000442822	0.00899386	0.00424667	0.000813067	0.00648754	0.0180386	0.0084362	0.0207827	0.00396035	0.000321147	0.00931063	0.0120532	0.000772119	0.345928	2.22639	0.203223	1.796777	0.0804175	0.292507	0.681466	1.46742	3.41872	12.4351	1.822512	8.841408	0.2913308	0.00324793	0.00981534	0.0125221	0.00803173	0.0181407	0.000845763	0.00289391	0.0504899	0.002803	0.0151306	0.0348164	0.00196155	0.00217395	0.00396489	9.08731e-05	0.00427886	0.00713401	0.0197116	0.00954578	0.0302608	0.0185159	0.016687	0.00681007	0.0123849	0.00229909	0.024752	0.00844309	0.0928566	0.0192466	0.0562483	0.00402532	0.00827071	0.0169852	0.042785	0.0161146	0.0214496	0.00184441	0.0374606	0.0176879	0.00338653	0.0270215	0.075133	0.0351379	0.0865626	0.0164954	0.00133762	0.03878	0.050203	0.00321597	0.898389	0.101611	0.2400885
324	-972.5811	-1036.845	64.26345	0.000704936	0.00329541	0.00184506	0.00240795	0.0020969	0.000385582	0.00101056	0.0146662	0.00232055	0.00372956	0.0121886	0.00167067	0.00287724	5.17862e-05	0.000266884	0.0032865	0.00195105	0.0056811	0.00511888	0.000977042	0.0085306	0.000350423	0.00216458	0.0038739	0.000280555	0.00555869	0.00174136	0.0539704	0.00100864	0.0210194	0.00131958	0.00382388	0.00312421	0.00726074	0.00176235	0.0213727	0.00302117	0.00448323	0.00809713	0.00222196	0.00257564	0.014353	0.0103009	0.0329908	0.00580889	0.000213014	0.0198393	0.00979724	0.00391564	0.378488	2.16534	0.2249329	1.775067	0.072073	0.277289	0.670201	1.49209	3.60634	13.8748	1.901726	7.891542	0.3277387	0.00219393	0.0102561	0.00574227	0.00749412	0.00652605	0.00120002	0.0031451	0.0456447	0.00722209	0.0116073	0.0379339	0.00519953	0.00895466	0.000161171	0.000830607	0.0102283	0.00607212	0.0176809	0.0159312	0.00304078	0.0265492	0.0010906	0.00673669	0.0120565	0.000873153	0.0173	0.00541953	0.167969	0.00313911	0.0654174	0.00410685	0.0119008	0.00972329	0.0225971	0.00548485	0.0665168	0.00940261	0.0139529	0.0252002	0.00691525	0.008016	0.0446698	0.0320588	0.102675	0.0180787	0.000662949	0.0617445	0.0304913	0.0121864	0.887534	0.112466	0.3213124
